sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	mge_id	mge_acs	mge_type	mge_subtype	mge_length	mge_start	mge_end	contig_start	contig_end	length	sstrand	qcovhsp	pident	evalue	bitscore
assembly	chromosome			contig_32	4051348	0.6148477000741481	e4c792d941639516b92fca5fd1116aea	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	71968	73506						
assembly	chromosome			contig_32	4051348	0.6148477000741481	e4c792d941639516b92fca5fd1116aea	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	74619	76982						
assembly	chromosome			contig_32	4051348	0.6148477000741481	e4c792d941639516b92fca5fd1116aea	00977	EU327991	ISAzo11	IS5	1038	16	1038	2011556	2012578						
assembly	chromosome			contig_32	4051348	0.6148477000741481	e4c792d941639516b92fca5fd1116aea	01400	CP016586.1	23s-rRNA	23S	3027	662	3018	2831751	2834106						
assembly	chromosome			contig_32	4051348	0.6148477000741481	e4c792d941639516b92fca5fd1116aea	01399	CP016586.1	16s-rRNA	16S	1554	7	1544	2835156	2836688						
assembly	chromosome			contig_60	354281	0.6165642526694912	f5af695f405714645cb4f7b29f48edbf	01399	CP016586.1	16s-rRNA	16S	1554	7	1544	3413	4967						
assembly	chromosome			contig_60	354281	0.6165642526694912	f5af695f405714645cb4f7b29f48edbf	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	350735	353098						
assembly	chromosome			contig_71	288906	0.5934560029905921	c5fa97ac018da424e50a32385a2aba3c	01167	BK010246	ISPpu14	IS66	42033	1	42033	182535	224564						
assembly	chromosome			contig_87	209400	0.615152817574021	25484a1d66f9f33b2a46cbaf9f4bf608	01399	CP016586.1	16s-rRNA	16S	1554	1	1544	168302	169840						
assembly	chromosome			contig_87	209400	0.615152817574021	25484a1d66f9f33b2a46cbaf9f4bf608	01400	CP016586.1	23s-rRNA	23S	3027	662	3027	170675	173037						
assembly	chromosome			contig_45	119955	0.590029594431245	bf20b13f2ccd9c1e102449ae568564dd	01172	KY883660	ISPpu30	IS66	2347	340	2315	101029	103003						
assembly	chromosome			contig_73	38915	0.5987665424643454	ca8f88ccc29e90dc60eb9483c69ba786	01400	CP016586.1	23s-rRNA	23S	3027	661	3027	261	2624						
assembly	chromosome			contig_73	38915	0.5987665424643454	ca8f88ccc29e90dc60eb9483c69ba786	01399	CP016586.1	16s-rRNA	16S	1554	7	1544	3680	5212						
assembly	chromosome			contig_6	31302	0.593955657785445	f59b8cf8124f3349d3cf1dbb4c580588	00124	KY860572	ISPa22	IS1182	1669	161	1608	20239	21672						
