assembly	contig_1
assembly	contig_10
assembly	contig_100
assembly	contig_101
assembly	contig_102
assembly	contig_11
assembly	contig_12
assembly	contig_13
assembly	contig_14
assembly	contig_15
assembly	contig_16
assembly	contig_17
assembly	contig_19
assembly	contig_2
assembly	contig_20
assembly	contig_21
assembly	contig_22
assembly	contig_23
assembly	contig_24
assembly	contig_25
assembly	contig_26
assembly	contig_29
assembly	contig_3
assembly	contig_30
assembly	contig_31
assembly	contig_32
assembly	contig_33
assembly	contig_34
assembly	contig_35
assembly	contig_36
assembly	contig_37
assembly	contig_38
assembly	contig_4
assembly	contig_40
assembly	contig_42
assembly	contig_43
assembly	contig_44
assembly	contig_45
assembly	contig_46
assembly	contig_48
assembly	contig_49
assembly	contig_5
assembly	contig_50
assembly	contig_51
assembly	contig_52
assembly	contig_53
assembly	contig_54
assembly	contig_55
assembly	contig_56
assembly	contig_57
assembly	contig_58
assembly	contig_6
assembly	contig_67
assembly	contig_7
assembly	contig_72
assembly	contig_73
assembly	contig_74
assembly	contig_76
assembly	contig_78
assembly	contig_79
assembly	contig_8
assembly	contig_80
assembly	contig_81
assembly	contig_82
assembly	contig_83
assembly	contig_84
assembly	contig_85
assembly	contig_86
assembly	contig_87
assembly	contig_88
assembly	contig_9
assembly	contig_90
assembly	contig_91
assembly	contig_92
assembly	contig_93
assembly	contig_94
assembly	contig_95
assembly	contig_96
assembly	contig_97
assembly	contig_98
assembly	contig_99
